frequency,word,reading,reading_segments,meaning_en,meaning_en_custom,part,frequency_band,age_band,grade
814,実験,じっけん,実:じっ | 験:けん,Experiment,experiment,noun | verbal noun,,,4
816,雰囲気,ふんいき,,Atmosphere | Ambience | Ambiance | Mood,atmosphere | ambience | ambiance | mood,noun,3000.0,9.0,9
818,患者,かんじゃ,,A Patient | Patient | Medical Patient,a Patient | patient | medical Patient,noun,3000.0,9.0,9
819,歌,うた,歌:うた,Song,song,noun,3000.0,,2
822,治療,ちりょう,,Medical Therapy | Medical Treatment,medical Therapy | medical Treatment,noun | verbal noun | の adjective,,,9
824,電子,でんし,電:でん | 子:し,Electron | Electronic,electron | electronic,noun,3000.0,2.0,2
825,小説,しょうせつ,小:しょう | 説:せつ,Novel,novel,noun | の adjective,3000.0,9.0,4
826,箸,はし,,Chopsticks,chopsticks,noun,,,9
827,受ける,うける,受:う | ける,To Receive Something | To Accept Something | To Take Something,receive Something | accept Something | take Something,transitive verb | ichidan verb,1000.0,,3
828,死,し,死:し,Death,death,noun | suffix,3000.0,,3
830,食事,しょくじ,食:しょく | 事:じ,Meal | Diet | Dining,meal | diet | dining,noun | verbal noun,3000.0,3.0,3
834,維持,いじ,,Maintenance | Support,maintenance | support,noun | verbal noun,,,9
836,文,ぶん,文:ぶん,Writing | Sentence,writing | sentence,noun,3000.0,,1
837,範囲,はんい,,Extent | Scope,extent | scope,noun,,,9
838,常に,つねに,常:つね | に,Always | Constantly | Continually,always | constantly | continually,adverb,,,5
839,著作,ちょさく,著:ちょ | 作:さく,Writing | Authorship | A Work,writing | authorship | a Work,noun | verbal noun,3000.0,9.0,6
840,表,おもて,表:おもて,The Front | The Surface,the Front | the Surface,independent noun,3000.0,,3
842,夫,おっと,夫:おっと,Husband,husband,noun,,,4
843,理論,りろん,理:り | 論:ろん,Theory,theory,noun | suffix,,,6
844,秒,びょう,秒:びょう,Second,second,noun | suffix,3000.0,,3
845,日常,にちじょう,日:にち | 常:じょう,Everyday Life | Normal Life | Daily Life | Ordinary | Regular | Everyday | Usual,everyday Life | normal Life | daily Life | ordinary | regular | everyday | usual,noun | の adjective,,,5
847,回答,かいとう,回:かい | 答:とう,Answer | Response,answer | response,noun | verbal noun,,,2
850,訴訟,そしょう,,Lawsuit | Litigation,lawsuit | litigation,noun | verbal noun | の adjective,,,9
853,住民,じゅうみん,住:じゅう | 民:みん,Residents | Citizens,residents | citizens,noun,3000.0,9.0,4
854,疑問,ぎもん,疑:ぎ | 問:もん,Doubt | Question,doubt | question,noun,3000.0,9.0,6
855,失敗,しっぱい,失:しっ | 敗:ぱい,Failure | Mistake,failure | mistake,noun | verbal noun | の adjective,,,4
856,島,しま,島:しま,Island,island,noun,3000.0,,3
857,知る,しる,知:し | る,To Know | To Learn | To Find Out,know | learn | find Out,transitive verb | godan verb,1000.0,,2
858,息子,むすこ,息:むす | 子:こ,Son,son,noun,3000.0,3.0,3
859,資本,しほん,資:し | 本:ほん,Capital,capital,noun,,,5
860,事情,じじょう,事:じ | 情:じょう,Circumstances | Reason | Situation,circumstances | reason | situation,noun,,,5
861,応援,おうえん,,Support | Root For | Aid,support | root For | aid,noun | verbal noun,,,9
863,感想,かんそう,感:かん | 想:そう,Impressions | One's Impressions | Thoughts,impressions | one's Impressions | thoughts,noun | verbal noun,,,3
864,解説,かいせつ,解:かい | 説:せつ,Explanation | Commentary,explanation | commentary,noun | verbal noun | の adjective,,,5
865,妻,つま,妻:つま,Wife | My Wife,wife | my Wife,noun,,,5
867,公共,こうきょう,公:こう | 共:きょう,Public | Community,public | community,noun | の adjective,3000.0,9.0,4
870,弁護士,べんごし,弁:べん | 護:ご | 士:し,Attorney | Lawyer,attorney | lawyer,noun,,,5
871,裁判,さいばん,裁:さい | 判:ばん,Trial,trial,noun | verbal noun | の adjective,,,6
872,建物,たてもの,建:た | 物:てもの,Building | Structure,building | structure,noun,3000.0,9.0,4
875,措置,そち,,Measures | Steps,measures | steps,noun | verbal noun,,,9
876,続ける,つづける,続:つづ | ける,To Continue Something | To Keep On | To Continue,continue Something | keep On | continue,transitive verb | ichidan verb,,,4
879,父,ちち,父:ちち,Father | Dad,father | dad,noun,3000.0,,2
880,本来,ほんらい,本:ほん | 来:らい,Originally | Primarily | Essentially | Naturally,originally | primarily | essentially | naturally,noun | の adjective,3000.0,2.0,2
881,元気,げんき,元:げん | 気:き,Energy | Health | Energetic | Healthy,energy | health | energetic | healthy,noun | な adjective,3000.0,2.0,2
882,一体,いったい,一:いっ | 体:たい,The Heck | In The World | On Earth,the Heck | in The World | on Earth,adverb,,,2
883,宇宙,うちゅう,宇:う | 宙:ちゅう,Outer Space | Space | Universe,outer Space | space | universe,noun,,,6
885,図,ず,図:ず,Diagram,diagram,noun | suffix,3000.0,,2
891,採用,さいよう,採:さい | 用:よう,Use | Adoption | Acceptance | Employment,use | adoption | acceptance | employment,noun | verbal noun,3000.0,9.0,5
893,二つ,ふたつ,二:ふた | つ,Two Things,two Things,numeral,3000.0,,1
894,観光,かんこう,観:かん | 光:こう,Sightseeing | Tourism,sightseeing | tourism,noun | verbal noun | の adjective,,,4
895,提出,ていしゅつ,提:てい | 出:しゅつ,Submission | Filing | Handing In | Presentation,submission | filing | handing In | presentation,noun | verbal noun,,,5
897,首相,しゅしょう,首:しゅ | 相:しょう,Prime Minister,prime Minister,noun,,,3
901,動物,どうぶつ,動:どう | 物:ぶつ,Animal,animal,noun,3000.0,3.0,3
902,買う,かう,買:か | う,To Buy,buy,transitive verb | godan verb,1000.0,,2
903,検査,けんさ,検:けん | 査:さ,Checkup | Inspection | Examination,checkup | inspection | examination,noun | verbal noun,,,5
904,映像,えいぞう,映:えい | 像:ぞう,Footage | Video | Image,footage | video | image,noun | の adjective,,,6
906,信頼,しんらい,,Reliance | Trust,reliance | trust,noun | verbal noun,,,9
908,世,よ,世:よ,World | Society | Age | Generation,world | society | age | generation,noun,3000.0,,3
911,空間,くうかん,空:くう | 間:かん,Space,space,noun,3000.0,2.0,2
915,役,やく,役:やく,Role | Part | Duty | Service,role | part | duty | service,noun | suffix,3000.0,,3
916,右,みぎ,右:みぎ,Right Direction | Right,right Direction | right,noun | の adjective,3000.0,,1
918,競争,きょうそう,競:きょう | 争:そう,Competition,competition,noun | verbal noun | の adjective,,,4
921,続く,つづく,続:つづ | く,To Continue,continue,intransitive verb | godan verb,,,4
922,位置,いち,位:い | 置:ち,Position | Location | Place,position | location | place,noun | verbal noun,,,4
923,入れる,いれる,入:い | れる,To Insert | To Put In,insert | put In,transitive verb | ichidan verb,1000.0,,1
924,全然,ぜんぜん,全:ぜん | 然:ぜん,Entirely | Completely | Not At All,entirely | completely | not At All,adverb,,,4
925,費用,ひよう,費:ひ | 用:よう,Expense | Cost,expense | cost,noun,,,5
926,株式会社,かぶしきがいしゃ,株:かぶ | 式:しき | 会:がい | 社:しゃ,Corporation,corporation,noun,3000.0,9.0,6
927,席,せき,席:せき,Seat,seat,noun,,,4
928,大統領,だいとうりょう,大:だい | 統:とう | 領:りょう,President,president,noun,,,5
931,事務所,じむしょ,事:じ | 務:む | 所:しょ,Office,office,noun,3000.0,9.0,5
932,感情,かんじょう,感:かん | 情:じょう,Feeling | Emotion,feeling | emotion,noun | の adjective,,,5
934,京都,きょうと,京:きょう | 都:と,Kyoto | Kyouto,kyoto | kyouto,proper noun,,,3
935,空,そら,空:そら,Sky,sky,noun,3000.0,,1
936,仲間,なかま,仲:なか | 間:ま,Comrade | Companion,comrade | companion,noun,,,4
939,整理,せいり,整:せい | 理:り,Arrangement | Sorting | Organization | Adjustment,arrangement | sorting | organization | adjustment,noun | verbal noun,,,3
940,協会,きょうかい,協:きょう | 会:かい,Association | Organization | Society,association | organization | society,noun,,,4
944,耳,みみ,耳:みみ,Ear | Ears,ear | ears,noun,3000.0,,1
947,安心,あんしん,安:あん | 心:しん,Relief | Peace Of Mind,relief | peace Of Mind,noun | な adjective | verbal noun,3000.0,3.0,3
948,独立,どくりつ,独:どく | 立:りつ,Independence | Autonomy,independence | autonomy,noun | の adjective | verbal noun,3000.0,9.0,5
949,読者,どくしゃ,読:どく | 者:しゃ,Reader,reader,noun,3000.0,3.0,3
950,雇用,こよう,,Employment,employment,noun | verbal noun,,,9
951,傾向,けいこう,,Tendency,tendency,noun | verbal noun,,,9
953,正しい,ただしい,正:ただ | しい,Correct | True | Right,correct | true | right,い adjective,1000.0,,1
954,誕生,たんじょう,誕:たん | 生:じょう,Birth,birth,noun | verbal noun,,,6
956,与える,あたえる,,To Give | To Grant | To Bestow,give | grant | bestow,transitive verb | ichidan verb,,,9
958,全員,ぜんいん,全:ぜん | 員:いん,All Members | All Hands | Everyone | Everybody,all Members | all Hands | everyone | everybody,noun,3000.0,3.0,3
964,壁,かべ,,Wall,wall,noun,,,9
965,是非,ぜひ,,Absolutely | By All Means | Right And Wrong,absolutely | by All Means | right And Wrong,adverb | noun,,,9
968,特徴,とくちょう,,Characteristic | Distinctive Feature,characteristic | distinctive Feature,noun,,,9
969,疲れ,つかれ,,Tiredness | Fatigue,tiredness | fatigue,noun,,,9
970,皆様,みなさま,,Everyone | All | Everybody,everyone | all | everybody,noun,,,9
971,別に,べつに,別:べつ | に,Not Particularly | Not Really | Separately | In Addition To,not Particularly | not Really | separately | in Addition To,adverb,,,4
972,魅力,みりょく,,Allure | Charm | Attraction | Appeal,allure | charm | attraction | appeal,noun,3000.0,9.0,9
973,人口,じんこう,人:じん | 口:こう,Population,population,noun,,,1
974,反応,はんのう,反:はん | 応:のう,A Reaction | Reaction | A Response | Response,a Reaction | reaction | a Response | response,noun | verbal noun,3000.0,9.0,5
979,工場,こうじょう,工:こう | 場:じょう,Factory,factory,noun,,,2
980,入力,にゅうりょく,入:にゅう | 力:りょく,Input | Enter | Entry,input | enter | entry,noun | verbal noun,3000.0,1.0,1
981,注文,ちゅうもん,注:ちゅう | 文:もん,Order | Request,order | request,noun | verbal noun | の adjective,3000.0,3.0,3
982,集中,しゅうちゅう,集:しゅう | 中:ちゅう,Concentration | Focus,concentration | focus,noun | verbal noun,3000.0,3.0,3
984,脳,のう,脳:のう,Brain,brain,noun,,,6
985,北,きた,北:きた,North,north,noun,3000.0,,2
986,現象,げんしょう,現:げん | 象:しょう,Phenomenon,phenomenon,noun,,,5
990,禁止,きんし,禁:きん | 止:し,Forbidden | Prohibition | Ban,forbidden | prohibition | ban,noun | verbal noun,3000.0,9.0,5
991,実践,じっせん,,Practice | Put Into Practice,practice | put Into Practice,noun | verbal noun | の adjective,,,9
993,職員,しょくいん,職:しょく | 員:いん,Personnel | Staff | Employee,personnel | staff | employee,noun | の adjective,3000.0,9.0,5
995,会員,かいいん,会:かい | 員:いん,Member | Membership,member | membership,noun,3000.0,3.0,3
996,案内,あんない,案:あん | 内:ない,Guide | Information | Invitation,guide | information | invitation,noun | verbal noun,3000.0,9.0,4
997,薬,くすり,薬:くすり,Medicine | Drug | Drugs,medicine | drug | drugs,noun,3000.0,,3
998,従来,じゅうらい,従:じゅう | 来:らい,Up To Now | Conventional | Conventionally,up To Now | conventional | conventionally,noun | の adjective | adverb,,,6
999,素晴らしい,すばらしい,素:す | 晴:ば | らしい,Wonderful | Splendid | Magnificent | The Best,wonderful | splendid | magnificent | the Best,い adjective,3000.0,9.0,5
1001,農業,のうぎょう,農:のう | 業:ぎょう,Agriculture,agriculture,noun | の adjective,3000.0,3.0,3
1002,用意,ようい,用:よう | 意:い,Preparation | Getting Ready,preparation | getting Ready,noun | verbal noun,,,3
1006,納得,なっとく,納:なっ | 得:とく,Being Convinced | Consent | Understanding | Accepting,being Convinced | consent | understanding | accepting,noun | verbal noun,,,6
1007,周り,まわり,周:まわ | り,Circumference | Perimeter | Edge | Surroundings | Locality | Neighborhood,circumference | perimeter | edge | surroundings | locality | neighborhood,noun | suffix,,,4
1008,収入,しゅうにゅう,収:しゅう | 入:にゅう,Income,income,noun,,,6
1009,増加,ぞうか,増:ぞう | 加:か,Increase,increase,noun | verbal noun,,,5
1010,年齢,ねんれい,,Years Old | Age,years Old | age,noun,,,9
1011,裏,うら,裏:うら,Backside | Reverse | Other Side,backside | reverse | other Side,noun,,,6
1012,未来,みらい,未:み | 来:らい,Future | The Future | Distant Future | The Distant Future,future | the Future | distant Future | the Distant Future,noun | の adjective,,,4
1013,社員,しゃいん,社:しゃ | 員:いん,Employee | Staff | Company Employee | Company Staff,employee | staff | company Employee | company Staff,noun,,,3
1015,食べる,たべる,食:た | べる,To Eat,eat,transitive verb | ichidan verb,1000.0,,2
1018,舞台,ぶたい,,Stage,stage,noun,,,9
1019,前回,ぜんかい,前:ぜん | 回:かい,Last Time | Previous Time,last Time | previous Time,noun,,,2
1022,交通,こうつう,交:こう | 通:つう,Traffic | Transport | Transit,traffic | transport | transit,noun,3000.0,2.0,2
1024,教師,きょうし,教:きょう | 師:し,Teacher,teacher,noun | の adjective,3000.0,9.0,5
1025,料金,りょうきん,料:りょう | 金:きん,Fee | Charge | Rate | Price,fee | charge | rate | price,noun,,,4
1027,森,もり,森:もり,Woods | Forest,woods | forest,noun,3000.0,,1
1028,他人,たにん,他:た | 人:にん,Another Person | Other People | Stranger,another Person | other People | stranger,noun,3000.0,3.0,3
1030,組,くみ,組:くみ,Group | Team | Class,group | team | class,noun | suffix,3000.0,,2
1031,株式,かぶしき,株:かぶ | 式:しき,Stock | Share,stock | share,noun,3000.0,9.0,6
1032,求める,もとめる,求:もと | める,To Want Something | To Request Something | To Demand Something,want Something | request Something | demand Something,transitive verb | ichidan verb,,,4
1034,否定,ひてい,否:ひ | 定:てい,Denial | Deny | Negation,denial | deny | negation,noun | verbal noun | の adjective,,,6
1035,機械,きかい,機:き | 械:かい,Machine | Mechanism,machine | mechanism,noun,,,4
1036,完成,かんせい,完:かん | 成:せい,Completion | Accomplishment,completion | accomplishment,noun | verbal noun,,,4
1037,大好き,だいすき,大:だい | 好:す | き,Really Like | Love | Like A Lot | Lovable,really Like | love | like A Lot | lovable,noun | な adjective,,,4
1040,電車,でんしゃ,電:でん | 車:しゃ,Train,train,noun,,,2
1041,一応,いちおう,一:いち | 応:おう,For Now | To Some Extent | More Or Less | Just In Case,for Now | some Extent | more Or Less | just In Case,adverb,,,5
1042,落ち,おち,落:お | ち,Conclusion | Final Result | The End | Punch Line | Slip | Omission | Outcome,conclusion | final Result | the End | punch Line | slip | omission | outcome,noun,15000.0,,3
1045,野球,やきゅう,野:や | 球:きゅう,Baseball,baseball,noun,3000.0,3.0,3
1047,姿勢,しせい,姿:し | 勢:せい,Posture | Attitude,posture | attitude,noun,,,6
1048,訪問,ほうもん,訪:ほう | 問:もん,A Visit | Visit,a Visit | visit,noun | verbal noun | の adjective,3000.0,9.0,6
1051,小学校,しょうがっこう,小:しょう | 学:がっ | 校:こう,Elementary School | Primary School | Grade School,elementary School | primary School | grade School,noun,3000.0,1.0,1
1052,電気,でんき,電:でん | 気:き,Electricity | Light,electricity | light,noun,,,2
1053,効率,こうりつ,効:こう | 率:りつ,Efficiency,efficiency,noun,,,5
1054,芸術,げいじゅつ,芸:げい | 術:じゅつ,Art | The Arts | Fine Art,art | the Arts | fine Art,noun,,,5
1056,会話,かいわ,会:かい | 話:わ,Conversation | Dialogue,conversation | dialogue,noun | verbal noun,3000.0,2.0,2
1057,再び,ふたたび,再:ふたた | び,Again | Once Again,again | once Again,adverb,,,5
1058,春,はる,春:はる,Spring,spring,noun,3000.0,,2
1059,小さい,ちいさい,小:ちい | さい,Small | Little,small | little,い adjective,3000.0,,1
1060,解釈,かいしゃく,,Explanation | Interpretation,explanation | interpretation,noun | verbal noun,,,9
1061,猫,ねこ,,Cat,cat,noun,,,9
1064,行,ぎょう,行:ぎょう,Line of Text | Line | Row,line of Text | line | row,counter | noun,3000.0,,2
1067,大丈夫,だいじょうぶ,,Safe | All Right | Okay,safe | all Right | okay,adverb | noun | な adjective,,,9
1068,低い,ひくい,低:ひく | い,Low | Short,low | short,い adjective,,,4
1069,半,はん,半:はん,Half,half,prefix | suffix,3000.0,,2
1071,製造,せいぞう,製:せい | 造:ぞう,Manufacturing,manufacturing,noun | verbal noun | の adjective,,,5
1072,困難,こんなん,,Hardship | Difficulty | Hard | Difficult,hardship | difficulty | hard | difficult,noun | な adjective,,,9
1074,回復,かいふく,回:かい | 復:ふく,Recovery,recovery,noun | verbal noun,3000.0,9.0,5
1076,母親,ははおや,母:はは | 親:おや,Mother | Mom,mother | mom,noun | の adjective,3000.0,2.0,2
1077,取材,しゅざい,取:しゅ | 材:ざい,Covering An Event | Data Collection | Interview,covering An Event | data Collection | interview,noun | verbal noun,3000.0,9.0,4
1078,保障,ほしょう,,Security | Safeguarding,security | safeguarding,noun | verbal noun,,,9
1079,集団,しゅうだん,集:しゅう | 団:だん,Group | Crowd,group | crowd,noun,,,5
1080,卒業,そつぎょう,卒:そつ | 業:ぎょう,Graduation,graduation,noun | verbal noun | の adjective,,,4
1082,雪,ゆき,雪:ゆき,Snow,snow,noun,3000.0,,2
1083,画面,がめん,画:が | 面:めん,Screen | Monitor,screen | monitor,noun,3000.0,3.0,3
1085,資格,しかく,資:し | 格:かく,Qualifications | Capabilities | Requirements,qualifications | capabilities | requirements,noun,,,5
1087,病気,びょうき,病:びょう | 気:き,Sick | Illness | Sickness | Disease,sick | illness | sickness | disease,noun | の adjective,3000.0,3.0,3
1088,更に,さらに,,Furthermore | Further | Again,furthermore | further | again,adverb | conjunction,,,9
1089,活躍,かつやく,,Active Participation | Activity | Success | Do Great,active Participation | activity | success | do Great,noun,3000.0,9.0,9
1090,馬,うま,馬:うま,Horse,horse,noun,3000.0,,2
1093,命,いのち,命:いのち,Life,life,independent noun,3000.0,,3
1095,限定,げんてい,限:げん | 定:てい,Limit,limit,noun | verbal noun | の adjective,,,5
1096,医師,いし,医:い | 師:し,Doctor,doctor,noun | の adjective,,,5
1098,工事,こうじ,工:こう | 事:じ,Construction | Construction Work,construction | construction Work,noun | verbal noun,,,3
1101,正直,しょうじき,正:しょう | 直:じき,Honest | Honestly,honest | honestly,な adjective | adverb | noun,3000.0,2.0,2
1103,自動車,じどうしゃ,自:じ | 動:どう | 車:しゃ,Automobile | Car,automobile | car,noun,3000.0,3.0,3
1105,女の子,おんなのこ,女:おんな | の | 子:こ,Girl | Young Girl,girl | young Girl,noun,3000.0,1.0,1
1107,民族,みんぞく,民:みん | 族:ぞく,Ethnic Group | Ethnicity | Race,ethnic Group | ethnicity | race,noun | の adjective,,,4
1108,充実,じゅうじつ,,Fullness | Beefing Up,fullness | beefing Up,noun | verbal noun,,,9
1110,講演,こうえん,講:こう | 演:えん,Lecture | Address,lecture | address,noun | verbal noun,,,5
1111,瞬間,しゅんかん,,An Instant | Instant | Moment,an Instant | instant | moment,noun,,,9
1113,大量,たいりょう,大:たい | 量:りょう,Large Quantity | Large Number | Huge Amount,large Quantity | large Number | huge Amount,noun | な adjective | の adjective,,,4
1114,久しぶり,ひさしぶり,久:ひさ | しぶり,Long Time No See | It's Been A While,long Time No See | it's Been A While,な adjective | の adjective,,,5
1115,美しい,うつくしい,美:うつく | しい,Beautiful,beautiful,い adjective,3000.0,,3
1117,革命,かくめい,,Revolution,revolution,noun | の adjective,3000.0,9.0,9
1123,輸入,ゆにゅう,輸:ゆ | 入:にゅう,Import,import,noun | verbal noun | の adjective,,,5
1124,遊び,あそび,遊:あそ | び,Play | Playing | Games,play | playing | games,noun,3000.0,,3
1125,背景,はいけい,背:はい | 景:けい,Background,background,noun,,,6
1127,星,ほし,星:ほし,Star,star,noun,3000.0,,2
1129,関心,かんしん,関:かん | 心:しん,Concern | Interest,concern | interest,noun,,,4
1130,勝手,かって,勝:かっ | 手:て,As One Pleases | One's Own Convenience | One's Own Way | One's Way,as One Pleases | one's Own Convenience | one's Own Way | one's Way,noun | な adjective,3000.0,3.0,3
1131,一覧,いちらん,一:いち | 覧:らん,A List | An Overview | Looking Over,a List | an Overview | looking Over,noun | verbal noun,,,6
1133,伝統,でんとう,伝:でん | 統:とう,Tradition,tradition,noun | の adjective,,,5
1134,横,よこ,横:よこ,Side | Beside | Next To | Horizontal,side | beside | next To | horizontal,noun,3000.0,,3
1138,値段,ねだん,値:ね | 段:だん,Price | Cost,price | cost,noun,,,6
1139,沖縄,おきなわ,沖:おき | 縄:なわ,Okinawa,okinawa,proper noun,,,4
1140,川,かわ,川:かわ,River,river,noun,3000.0,,1
1142,若者,わかもの,若:わか | 者:もの,Young Person,young Person,noun | の adjective,3000.0,9.0,6
1143,心理,しんり,心:しん | 理:り,Mental State | Psychology,mental State | psychology,noun,,,2
1144,大体,だいたい,大:だい | 体:たい,Generally | About | General | Gist,generally | about | general | gist,adverb | noun | の adjective,,,2
1145,里,さと,里:さと,Hometown | Village | One's Parents' Home,hometown | village | one's Parents' Home,noun,3000.0,,2
1146,掲示板,けいじばん,,Bulletin Board,bulletin Board,noun,3000.0,9.0,9
1147,番号,ばんごう,番:ばん | 号:ごう,Number | Series Of Digits,number | series Of Digits,noun,3000.0,3.0,3
1150,古い,ふるい,古:ふる | い,Old | Ancient | Out-Of-Date,old | ancient | out-Of-Date,い adjective,3000.0,,2
1152,船,ふね,船:ふね,Boat | Ship,boat | ship,noun,3000.0,,2
1154,突然,とつぜん,,Suddenly | Sudden,suddenly | sudden,adverb | な adjective | の adjective,,,9
1156,半分,はんぶん,半:はん | 分:ぶん,Half,half,noun,3000.0,2.0,2
1157,思想,しそう,思:し | 想:そう,Ideology | Thought | Idea,ideology | thought | idea,noun,3000.0,3.0,3
1158,請求,せいきゅう,,Request | Charge | Claim,request | charge | claim,noun | verbal noun,,,9
1159,正確,せいかく,正:せい | 確:かく,Accurate | Precise | Exact,accurate | precise | exact,noun | な adjective,,,5
1160,教室,きょうしつ,教:きょう | 室:しつ,Classroom,classroom,noun,3000.0,2.0,2
1163,不足,ふそく,不:ふ | 足:そく,Shortage | Insufficiency,shortage | insufficiency,noun | な adjective | verbal noun,3000.0,9.0,4
1164,実,じつ,実:じつ,Truth | Reality,truth | reality,noun | の adjective,3000.0,,3
1166,伺い,うかがい,,Inquiry | Enquiry | Question | Visit,inquiry | enquiry | question | visit,noun,,,9
1167,東,ひがし,東:ひがし,East,east,noun,3000.0,,2
1168,厳しい,きびしい,厳:きび | しい,Strict | Harsh | Severe,strict | harsh | severe,い adjective,,,6
1169,異なる,ことなる,異:こと | なる,To Differ,differ,intransitive verb | godan verb,,,6
1170,王,おう,王:おう,King,king,noun | suffix,3000.0,,1
1172,含む,ふくむ,,To Include | To Contain,include | contain,transitive verb | godan verb,,,9
1173,世の中,よのなか,世:よ | の | 中:なか,Society | The World,society | the World,noun,3000.0,3.0,3
1175,項目,こうもく,,Item | Entry | Clause | Data Item,item | entry | clause | data Item,noun,,,9
1177,性格,せいかく,性:せい | 格:かく,Personality | Character,personality | character,noun,,,5
1181,多分,たぶん,多:た | 分:ぶん,Maybe | Perhaps | Probably,maybe | perhaps | probably,adverb | noun,3000.0,2.0,2
1182,地区,ちく,地:ち | 区:く,District | Area | Zone,district | area | zone,noun | の adjective,,,3
1186,著者,ちょしゃ,著:ちょ | 者:しゃ,Author,author,noun,,,6
1187,示す,しめす,示:しめ | す,To Indicate | To Show Something | To Demonstrate,indicate | show Something | demonstrate,transitive verb | godan verb,,,5
1192,福祉,ふくし,,Welfare | Well Being,welfare | well Being,noun,3000.0,9.0,9
1193,到着,とうちゃく,,Arrival,arrival,noun | verbal noun | の adjective,3000.0,9.0,9
1194,罪,つみ,罪:つみ,Sin | Crime,sin | crime,independent noun,,,5
1196,楽,らく,楽:らく,Comfort | Ease | Pleasure,comfort | ease | pleasure,noun | な adjective,3000.0,,2
1197,操作,そうさ,操:そう | 作:さ,Operation | Handling | Manipulation,operation | handling | manipulation,noun,,,6
1199,便利,べんり,便:べん | 利:り,Convenient | Handy | Useful,convenient | handy | useful,な adjective,,,4
1201,南,みなみ,南:みなみ,South,south,noun,3000.0,,2
1205,態度,たいど,態:たい | 度:ど,Attitude | Manner | Behavior,attitude | manner | behavior,noun | の adjective,,,5
1209,審査,しんさ,,Examination | Inspection | Investigation | Review,examination | inspection | investigation | review,noun | verbal noun,,,9
1210,公園,こうえん,公:こう | 園:えん,Public Park | Park,public Park | park,noun,,,2
1211,過程,かてい,過:か | 程:てい,Process | A Process,process | a Process,noun,,,5
1212,研修,けんしゅう,研:けん | 修:しゅう,Training | Give Training,training | give Training,noun | verbal noun,3000.0,9.0,5
1214,変,へん,変:へん,Strange | Weird,strange | weird,noun | な adjective,,,4
1215,連続,れんぞく,連:れん | 続:ぞく,Serial | Consecutive | Successive | Series,serial | consecutive | successive | series,noun | verbal noun,,,4
1217,空気,くうき,空:くう | 気:き,Air | Atmosphere | Mood,air | atmosphere | mood,noun,3000.0,1.0,1
1218,翻訳,ほんやく,,Translation,translation,noun | verbal noun,,,9
1220,冬,ふゆ,冬:ふゆ,Winter,winter,noun,3000.0,,2
1221,暮らし,くらし,暮:く | らし,Life | Living | Daily Living,life | living | daily Living,noun,,,6
1222,単純,たんじゅん,単:たん | 純:じゅん,Simple,simple,noun | な adjective,,,6
1223,嬉しい,うれしい,,Glad | Happy | Joyful,glad | happy | joyful,い adjective,,,9
1224,予約,よやく,予:よ | 約:やく,Reservation | Appointment,reservation | appointment,noun | verbal noun | の adjective,3000.0,9.0,4
1227,論文,ろんぶん,論:ろん | 文:ぶん,Thesis | Paper | Article | Essay,thesis | paper | article | essay,noun,3000.0,9.0,6
1228,地震,じしん,,Earthquake,earthquake,noun,,,9
1234,豊か,ゆたか,豊:ゆた | か,Rich | Plentiful | Abundant | Wealthy,rich | plentiful | abundant | wealthy,な adjective,,,5
1238,敵,てき,敵:てき,Enemy | Opponent,enemy | opponent,noun,,,6
1240,自信,じしん,自:じ | 信:しん,Confidence | Self Confidence,confidence | self Confidence,noun | verbal noun,,,4
1241,生きる,いきる,生:い | きる,To Live | To Be Alive | To Exist,live | be Alive | exist,intransitive verb | ichidan verb,1000.0,,1
1242,涙,なみだ,,Tears | Tear | Teardrop,tears | tear | teardrop,noun,,,9
1246,毎年,まいとし,毎:まい | 年:とし,Every Year | Yearly | Annually | Each Year,every Year | yearly | annually | each Year,noun,3000.0,2.0,2
1247,距離,きょり,,Distance | Range,distance | range,noun,,,9
1248,複数,ふくすう,複:ふく | 数:すう,Multiple | Plural,multiple | plural,noun | の adjective,3000.0,9.0,5
1249,恋愛,れんあい,,Love | Romance,love | romance,noun | verbal noun | の adjective,,,9
1256,早い,はやい,早:はや | い,Early | Fast | Quick,early | fast | quick,い adjective,1000.0,,1
1257,交渉,こうしょう,,Negotiation,negotiation,noun | verbal noun | の adjective,3000.0,9.0,9
1260,普段,ふだん,,Usual | Usually | Always,usual | usually | always,adverb | noun | の adjective,,,9
1262,出席,しゅっせき,出:しゅっ | 席:せき,Attendance,attendance,noun | verbal noun,,,4
1264,窓,まど,窓:まど,Window,window,noun,,,6
1266,始める,はじめる,始:はじ | める,To Begin Something | To Start Something | To Begin | To Start,begin Something | start Something | begin | start,transitive verb | ichidan verb,1000.0,,3
1267,安い,やすい,安:やす | い,Cheap | Inexpensive,cheap | inexpensive,い adjective,3000.0,,3
1268,危機,きき,危:き | 機:き,Crisis,crisis,noun | の adjective,,,6
1270,募集,ぼしゅう,,Recruiting | Solicitation,recruiting | solicitation,noun | verbal noun,,,9
1272,休み,やすみ,休:やす | み,Rest | Break | Vacation | Holiday,rest | break | vacation | holiday,noun,3000.0,,1
1273,自宅,じたく,自:じ | 宅:たく,One's Home | One's Own Home,one's Home | one's Own Home,noun,,,6
1274,深い,ふかい,深:ふか | い,Deep,deep,い adjective,1000.0,,3
1276,分かる,わかる,分:わ | かる,To Understand | To Be Understandable,understand | be Understandable,intransitive verb | godan verb,1000.0,,2
